Cluster;Tenure Months;Monthly Purchase (Thou. IDR);CLTV (Predicted Thou. IDR);Games Product_No;Games Product_No internet service;Games Product_Yes;Device Class_High End;Device Class_Low End;Device Class_Mid End;Music Product_No;Music Product_No internet service;Music Product_Yes;Payment Method_Credit;Payment Method_Debit;Payment Method_Digital Wallet;Payment Method_Pulsa;Education Product_No;Education Product_No internet service;Education Product_Yes;Use MyApp_No;Use MyApp_No internet service;Use MyApp_Yes;Video Product_No;Video Product_No internet service;Video Product_Yes;Call Center_No;Call Center_Yes;Longitude_106.816666;Longitude_107.60981;Latitude_-6.914744;Latitude_-6.2;Location_Bandung;Location_Jakarta;Churn Label_0;Churn Label_1;;;;;;;;
0;33.653;83.934;5.638.742;0.489;0.227;0.284;0.433;0.227;0.34;0.424;0.227;0.349;0.219;0.241;0.216;0.324;0.423;0.227;0.35;0.374;0.227;0.399;0.38;0.227;0.393;0.704;0.296;0.704;0.296;0.296;0.704;0.296;0.704;0.741;0.259;;;;;;;;
1;18.399;79.173;3.624.698;0.582;0.213;0.205;0.435;0.213;0.352;0.536;0.213;0.251;0.165;0.153;0.294;0.388;0.523;0.213;0.264;0.478;0.213;0.309;0.476;0.213;0.311;0.785;0.215;0.71;0.29;0.29;0.71;0.29;0.71;0.656;0.344;;;;;;;;
2;41.058;88.0;7.287.048;0.444;0.209;0.347;0.449;0.209;0.342;0.384;0.209;0.407;0.25;0.245;0.195;0.31;0.396;0.209;0.395;0.357;0.209;0.434;0.362;0.209;0.428;0.663;0.337;0.728;0.272;0.272;0.728;0.272;0.728;0.784;0.216;;;;;Cluster;0;1;2
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tenure Months;33.653;18.399;41.058
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Monthly Purchase (Thou. IDR);83.934;79.173;88.0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CLTV (Predicted Thou. IDR);5.638.742;3.624.698;7.287.048
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Games Product_No;0.489;0.582;0.444
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Games Product_No internet service;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Games Product_Yes;0.284;0.205;0.347
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Device Class_High End;0.433;0.435;0.449
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Device Class_Low End;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Device Class_Mid End;0.34;0.352;0.342
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Music Product_No;0.424;0.536;0.384
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Music Product_No internet service;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Music Product_Yes;0.349;0.251;0.407
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Payment Method_Credit;0.219;0.165;0.25
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Payment Method_Debit;0.241;0.153;0.245
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Payment Method_Digital Wallet;0.216;0.294;0.195
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Payment Method_Pulsa;0.324;0.388;0.31
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Education Product_No;0.423;0.523;0.396
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Education Product_No internet service;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Education Product_Yes;0.35;0.264;0.395
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Use MyApp_No;0.374;0.478;0.357
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Use MyApp_No internet service;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Use MyApp_Yes;0.399;0.213;0.434
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Video Product_No;0.38;0.476;0.362
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Video Product_No internet service;0.227;0.213;0.209
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Video Product_Yes;0.393;0.311;0.428
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Call Center_No;0.704;0.785;0.663
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Call Center_Yes;0.296;0.215;0.337
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Longitude_106.816666;0.704;0.71;0.728
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Longitude_107.60981;0.296;0.29;0.272
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Latitude_-6.914744;0.296;0.29;0.272
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Latitude_-6.2;0.704;0.71;0.728
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Location_Bandung;0.296;0.29;0.272
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Location_Jakarta;0.704;0.71;0.728
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Churn Label_0;0.741;0.656;0.784
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Churn Label_1;0.259;0.344;0.216
